output_number,piper_midi_ch,piper_midi_note_number
1,1,36
2,1,37
3,1,38
4,1,39
5,1,40
6,1,41
7,1,42
8,1,43
9,1,44
10,1,45
11,1,46
12,1,47
13,1,48
14,1,49
15,1,50
16,1,51
17,1,52
18,1,53
19,1,54
20,1,55
21,1,56
22,1,57
23,1,58
24,1,59
25,1,60
26,1,61
27,1,62
28,1,63
29,1,64
30,1,65
31,1,66
32,1,67
33,1,68
34,1,69
35,1,70
36,1,71
37,1,72
38,1,73
39,1,74
40,1,75
41,1,76
42,1,77
43,1,78
44,1,79
45,1,80
46,1,81
47,1,82
48,1,83
49,1,84
50,1,85
51,1,86
52,1,87
53,1,88
54,1,89
55,1,90
56,1,91
57,1,92
58,1,93
59,1,94
60,1,95
61,1,96
62,1,97
63,1,98
64,1,99
65,1,100
66,1,101
67,1,102
68,1,103
69,1,104
70,1,105
71,1,106
72,1,107
73,1,108